chemin du ficher,nom du paquet,nom de la classe,NOC,WMC,CBO,CC,RFC
C:\Users\jenny\Documents\UdeM\Fall2022\IFT3913\TP2_IFT3913\jfreechart-master\src\main\java\org\jfree\chart\axis\NumberAxis.java,src.main.java.org.jfree.chart.axis,NumberAxis.java,4,8,25,162.0,141.0
C:\Users\jenny\Documents\UdeM\Fall2022\IFT3913\TP2_IFT3913\jfreechart-master\src\main\java\org\jfree\chart\plot\SpiderWebPlot.java,src.main.java.org.jfree.chart.plot,SpiderWebPlot.java,0,24,30,112.0,140.0
C:\Users\jenny\Documents\UdeM\Fall2022\IFT3913\TP2_IFT3913\jfreechart-master\src\main\java\org\jfree\chart\JFreeChart.java,src.main.java.org.jfree.chart,JFreeChart.java,0,36,42,206.0,134.0
C:\Users\jenny\Documents\UdeM\Fall2022\IFT3913\TP2_IFT3913\jfreechart-master\src\main\java\org\jfree\chart\renderer\category\BarRenderer.java,src.main.java.org.jfree.chart.renderer.category,BarRenderer.java,5,15,44,180.0,133.0
C:\Users\jenny\Documents\UdeM\Fall2022\IFT3913\TP2_IFT3913\jfreechart-master\src\main\java\org\jfree\chart\axis\CyclicNumberAxis.java,src.main.java.org.jfree.chart.axis,CyclicNumberAxis.java,0,10,23,121.0,131.0
C:\Users\jenny\Documents\UdeM\Fall2022\IFT3913\TP2_IFT3913\jfreechart-master\src\main\java\org\jfree\chart\renderer\category\BoxAndWhiskerRenderer.java,src.main.java.org.jfree.chart.renderer.category,BoxAndWhiskerRenderer.java,0,13,29,132.0,130.0
C:\Users\jenny\Documents\UdeM\Fall2022\IFT3913\TP2_IFT3913\jfreechart-master\src\main\java\org\jfree\chart\internal\SerialUtils.java,src.main.java.org.jfree.chart.internal,SerialUtils.java,0,0,2,84.0,129.0
C:\Users\jenny\Documents\UdeM\Fall2022\IFT3913\TP2_IFT3913\jfreechart-master\src\main\java\org\jfree\chart\plot\MeterPlot.java,src.main.java.org.jfree.chart.plot,MeterPlot.java,0,22,22,120.0,126.0
C:\Users\jenny\Documents\UdeM\Fall2022\IFT3913\TP2_IFT3913\jfreechart-master\src\main\java\org\jfree\chart\axis\LogAxis.java,src.main.java.org.jfree.chart.axis,LogAxis.java,0,13,26,130.0,124.0
C:\Users\jenny\Documents\UdeM\Fall2022\IFT3913\TP2_IFT3913\jfreechart-master\src\main\java\org\jfree\data\time\TimeSeries.java,src.main.java.org.jfree.data.time,TimeSeries.java,0,17,15,191.0,116.0
C:\Users\jenny\Documents\UdeM\Fall2022\IFT3913\TP2_IFT3913\jfreechart-master\src\main\java\org\jfree\chart\plot\Plot.java,src.main.java.org.jfree.chart.plot,Plot.java,21,32,45,192.0,114.0
C:\Users\jenny\Documents\UdeM\Fall2022\IFT3913\TP2_IFT3913\jfreechart-master\src\main\java\org\jfree\chart\StandardChartTheme.java,src.main.java.org.jfree.chart,StandardChartTheme.java,0,32,64,159.0,111.0
